cgpa,dsa,communication,ml,webdev,cloud,cybersecurity,projects,internships,career
8.61,8,7,7,2,5,10,12,1,Cybersecurity Analyst
7.28,8,9,4,4,6,8,13,5,Cybersecurity Analyst
5.82,9,3,9,2,2,10,3,5,ML Engineer
9.02,6,6,9,3,7,8,7,5,Cybersecurity Analyst
6.35,3,5,5,7,7,7,5,2,Data Scientist
5.64,7,1,1,7,9,5,3,4,Cloud Engineer
6.38,9,1,8,8,3,9,6,0,ML Engineer
5.37,4,2,5,9,10,7,1,3,Cloud Engineer
8.53,6,1,8,1,2,3,11,0,Data Scientist
5.91,7,6,9,4,10,9,5,5,ML Engineer
5.01,6,4,6,10,10,1,12,3,Cloud Engineer
7.75,5,6,1,4,2,5,15,1,Data Scientist
8.0,9,9,6,3,5,5,8,3,Software Developer
6.63,2,9,10,10,1,1,16,3,Web Developer
9.98,6,6,2,9,10,9,19,0,Web Developer
5.81,2,8,2,5,9,9,2,2,Cybersecurity Analyst
7.36,8,4,2,8,5,7,4,2,Data Scientist
5.12,5,8,9,4,3,8,15,1,Cybersecurity Analyst
8.25,9,6,9,10,2,6,2,1,ML Engineer
8.17,1,1,1,8,3,2,2,3,Data Scientist
7.11,1,5,4,4,10,1,1,1,Cloud Engineer
8.44,5,9,2,8,8,9,0,4,Web Developer
9.68,1,9,8,1,2,5,0,1,Data Scientist
5.07,10,9,6,5,8,2,1,1,Cloud Engineer
8.18,10,8,4,2,8,5,0,0,Cloud Engineer
5.91,3,6,7,5,3,8,4,3,Cybersecurity Analyst
6.22,7,6,4,1,5,3,6,0,Data Scientist
7.91,3,7,9,4,2,9,14,4,Cybersecurity Analyst
7.6,4,6,6,5,2,8,2,0,Cybersecurity Analyst
5.58,1,9,4,2,3,4,20,5,Mobile App Developer
8.48,3,8,4,8,10,1,2,2,Web Developer
6.25,4,7,9,5,7,10,5,2,Cybersecurity Analyst
7.37,10,10,7,3,2,3,9,4,Data Scientist
5.78,6,10,1,5,4,8,11,3,Cybersecurity Analyst
6.75,9,10,9,7,8,2,14,2,ML Engineer
7.47,9,7,2,5,10,4,3,0,Cloud Engineer
7.88,9,7,3,10,1,3,8,4,Web Developer
8.78,3,7,10,8,4,10,10,0,Web Developer
8.7,1,9,2,10,2,8,4,0,Web Developer
7.99,2,7,8,4,3,10,2,3,Cybersecurity Analyst
9.04,6,4,7,7,2,2,2,5,Data Scientist
7.36,5,5,10,5,8,4,19,3,Cloud Engineer
5.88,9,10,2,1,2,9,0,4,Cybersecurity Analyst
8.97,9,8,1,2,3,2,6,0,Software Developer
8.22,7,7,7,10,3,6,12,3,Web Developer
9.2,6,1,1,3,7,2,8,0,DevOps Engineer
7.93,9,2,3,6,8,10,10,4,Cybersecurity Analyst
7.9,10,4,6,2,7,2,0,1,Data Scientist
6.7,7,3,8,3,3,10,7,4,ML Engineer
7.43,6,10,3,7,2,5,2,4,Data Scientist
5.01,3,6,2,2,2,5,0,2,Data Scientist
6.73,7,5,2,2,5,5,5,1,Data Scientist
8.96,5,2,8,1,5,9,9,5,Cybersecurity Analyst
9.57,8,10,8,3,8,2,13,5,ML Engineer
8.64,7,6,1,6,9,7,12,2,Cloud Engineer
8.76,7,7,4,3,9,2,12,2,Cloud Engineer
5.74,5,9,10,4,7,4,0,1,Data Scientist
8.58,2,9,5,8,10,1,6,3,Web Developer
5.11,10,10,3,5,9,2,9,4,Cloud Engineer
7.06,7,4,9,3,3,2,6,2,ML Engineer
6.3,9,8,7,10,9,2,3,2,Web Developer
5.02,7,8,2,9,6,1,14,2,Web Developer
8.78,8,10,7,10,10,5,19,2,Web Developer
6.05,1,3,3,6,10,6,11,5,Cloud Engineer
6.22,5,6,5,9,2,7,5,2,Web Developer
7.38,4,4,10,4,7,6,2,1,Data Scientist
6.98,1,6,8,4,5,9,8,3,Cybersecurity Analyst
8.61,10,5,10,8,5,7,5,0,ML Engineer
5.94,3,7,8,9,9,3,12,3,Web Developer
7.9,8,10,8,1,6,2,11,1,ML Engineer
8.54,8,1,10,1,8,7,5,5,ML Engineer
8.19,10,4,3,2,2,1,4,3,Software Developer
5.94,1,9,5,8,2,2,12,2,Web Developer
9.95,2,7,3,10,6,8,7,0,Web Developer
9.29,7,6,3,10,2,5,20,1,Web Developer
7.68,8,10,6,8,10,1,4,0,Web Developer
7.51,9,6,9,10,7,3,5,0,ML Engineer
9.05,9,7,5,7,1,3,4,5,Software Developer
5.31,9,2,3,7,10,9,5,3,Cybersecurity Analyst
7.0,7,7,8,2,5,2,11,2,ML Engineer
9.93,8,6,6,3,2,3,0,0,Software Developer
5.66,1,6,6,1,6,3,6,4,Data Scientist
5.68,4,7,7,2,4,5,9,1,Data Scientist
6.43,6,6,1,1,10,7,11,5,Cloud Engineer
6.66,1,2,4,1,2,4,2,2,Data Scientist
6.9,2,7,8,7,4,5,20,2,Data Scientist
7.79,2,4,4,3,8,8,3,3,Cybersecurity Analyst
5.86,8,10,9,3,9,6,16,0,ML Engineer
7.12,9,3,3,1,4,10,3,2,Cybersecurity Analyst
6.76,10,8,9,3,4,3,11,2,ML Engineer
8.88,3,1,10,8,10,6,1,3,Cloud Engineer
9.75,10,5,3,2,1,7,18,3,Software Developer
8.25,8,8,1,3,8,5,4,1,Cloud Engineer
7.08,8,3,4,5,1,6,1,5,Data Scientist
5.21,3,1,6,10,2,8,11,1,Cybersecurity Analyst
5.11,6,2,1,1,5,3,19,5,Data Scientist
8.56,4,9,4,5,9,3,6,0,Cloud Engineer
6.55,8,5,10,10,4,10,13,2,ML Engineer
5.66,7,1,7,2,2,7,12,3,Data Scientist
6.17,1,1,3,5,9,8,9,5,Cybersecurity Analyst
7.82,6,3,4,1,2,6,2,3,Data Scientist
6.14,10,3,3,5,6,3,20,5,Data Scientist
7.48,7,3,9,3,9,5,8,1,ML Engineer
7.41,5,8,4,5,10,7,10,0,Cloud Engineer
9.9,1,7,6,3,8,4,14,5,Cloud Engineer
9.09,1,1,9,3,2,8,7,5,Cybersecurity Analyst
9.27,3,9,7,6,3,5,10,5,Mobile App Developer
5.59,9,2,6,7,10,3,7,5,Cloud Engineer
9.29,9,5,4,10,4,9,19,5,Cybersecurity Analyst
5.51,9,8,2,5,10,7,9,1,Cloud Engineer
9.5,10,8,9,1,7,8,7,0,ML Engineer
7.18,7,8,7,7,8,4,8,0,Cloud Engineer
7.7,4,8,7,10,6,7,3,0,Web Developer
9.91,5,9,8,9,1,3,15,1,Web Developer
8.56,1,10,4,4,4,10,12,5,Cybersecurity Analyst
6.13,3,9,5,7,6,2,18,3,Mobile App Developer
9.3,4,5,6,9,9,9,15,4,Cybersecurity Analyst
8.27,7,9,7,9,2,9,6,3,Web Developer
5.82,4,9,4,3,2,10,10,1,Cybersecurity Analyst
7.56,5,9,8,5,9,3,19,3,Cloud Engineer
6.37,8,6,2,7,1,10,5,4,Cybersecurity Analyst
9.52,8,8,7,10,10,8,7,1,Web Developer
7.04,10,7,8,4,6,6,16,5,ML Engineer
8.37,5,6,10,6,6,10,0,2,Cybersecurity Analyst
9.65,5,5,3,5,1,4,2,4,Data Scientist
8.37,3,1,3,1,8,9,5,2,Cybersecurity Analyst
5.36,1,1,2,6,7,4,17,4,DevOps Engineer
9.3,3,6,10,2,3,3,13,1,Data Scientist
5.24,1,6,3,3,7,6,4,4,Data Scientist
5.31,9,4,4,9,10,8,8,4,Cybersecurity Analyst
8.45,9,3,9,7,6,5,0,0,ML Engineer
7.38,6,8,4,2,6,7,6,5,Data Scientist
5.98,2,9,6,5,1,7,1,3,Data Scientist
9.44,8,6,7,6,8,5,11,3,Cloud Engineer
5.54,2,6,2,2,7,7,2,5,Data Scientist
7.18,3,4,5,10,10,6,1,2,Cloud Engineer
9.21,9,7,1,8,7,3,7,5,Web Developer
8.81,4,9,2,2,6,10,1,3,Cybersecurity Analyst
9.76,8,4,1,6,4,3,14,5,Software Developer
9.57,4,10,2,5,8,4,18,5,Cloud Engineer
7.8,3,3,6,10,9,7,14,0,Cloud Engineer
9.78,8,8,7,10,6,5,6,1,Web Developer
7.36,7,4,8,5,3,8,0,2,ML Engineer
7.21,7,7,10,1,9,9,15,2,ML Engineer
9.75,8,3,10,5,7,8,5,0,ML Engineer
7.05,1,2,2,9,5,7,14,4,Data Scientist
7.69,5,7,4,1,3,6,7,3,Data Scientist
7.81,1,10,5,8,6,7,20,1,Web Developer
8.27,4,9,8,1,6,10,19,5,Cybersecurity Analyst
6.49,5,1,6,2,8,3,8,2,Cloud Engineer
5.28,8,3,6,2,8,6,2,2,Cloud Engineer
6.17,3,10,2,10,10,7,13,0,Web Developer
9.68,5,1,9,4,6,2,0,4,Data Scientist
8.49,9,2,5,2,2,6,5,0,Software Developer
9.15,5,6,4,9,4,6,20,5,Web Developer
5.38,5,7,9,3,3,10,5,3,Cybersecurity Analyst
9.88,8,8,6,6,2,9,13,5,Cybersecurity Analyst
7.76,2,6,1,2,6,1,11,2,Data Scientist
9.9,5,7,5,2,1,1,9,4,Data Scientist
5.49,4,10,6,1,5,5,6,4,Data Scientist
5.71,4,9,3,10,1,6,4,3,Web Developer
6.14,9,5,8,9,8,10,8,2,ML Engineer
8.99,3,6,8,1,4,9,3,3,Cybersecurity Analyst
7.55,1,3,5,6,5,3,3,4,Data Scientist
7.27,4,4,8,5,3,2,16,3,Data Scientist
8.95,1,6,6,2,1,7,15,2,Data Scientist
7.37,5,1,8,7,5,9,13,4,Cybersecurity Analyst
6.04,6,7,3,7,2,7,11,0,Data Scientist
6.56,1,2,2,9,2,3,12,5,Data Scientist
6.64,1,4,3,4,3,4,2,3,Data Scientist
8.06,2,1,5,10,2,6,8,5,Data Scientist
9.71,10,1,6,4,4,5,20,0,Software Developer
7.09,2,4,6,5,8,5,20,4,Cloud Engineer
7.26,9,1,8,7,7,10,20,0,ML Engineer
7.66,4,6,7,1,7,3,7,0,Data Scientist
7.32,1,8,7,3,3,1,0,4,Data Scientist
6.45,8,2,4,1,8,8,14,5,Cybersecurity Analyst
8.49,10,1,10,9,7,3,6,3,ML Engineer
5.14,10,2,2,10,6,6,5,4,Data Scientist
9.37,9,6,8,8,8,6,20,2,ML Engineer
8.52,5,1,10,9,9,5,17,0,Cloud Engineer
9.04,10,8,5,5,4,1,11,3,Software Developer
7.89,4,2,9,3,10,3,4,0,Cloud Engineer
6.25,10,2,5,2,6,2,15,4,Data Scientist
8.53,7,2,8,9,6,1,20,4,ML Engineer
5.92,3,5,6,2,5,9,11,1,Cybersecurity Analyst
6.25,8,6,5,9,3,4,8,5,Web Developer
9.74,2,1,1,9,7,8,16,0,Cybersecurity Analyst
7.2,3,10,4,6,10,4,18,5,Cloud Engineer
8.19,5,5,5,2,4,2,18,2,Data Scientist
6.16,10,10,4,8,10,4,5,1,Web Developer
9.02,9,3,8,10,5,3,16,1,ML Engineer
6.49,4,6,9,2,9,3,12,5,Cloud Engineer
9.24,5,8,5,10,6,2,11,4,Web Developer
6.47,1,8,10,8,8,5,6,4,Web Developer
7.47,10,5,6,7,9,7,7,5,Cloud Engineer
5.75,5,2,9,8,5,8,9,0,Cybersecurity Analyst
7.98,10,2,4,10,2,10,5,1,Cybersecurity Analyst
6.2,9,7,4,9,4,7,18,1,Web Developer
5.35,10,6,8,1,3,3,11,2,ML Engineer
7.66,3,5,7,4,6,9,17,0,Cybersecurity Analyst
5.24,8,9,6,7,5,2,11,2,Mobile App Developer
6.44,3,6,4,2,2,8,0,4,Cybersecurity Analyst
6.58,2,4,1,10,2,3,16,0,Data Scientist
6.97,6,9,5,4,6,8,0,1,Cybersecurity Analyst
6.99,4,4,4,9,3,3,10,2,Data Scientist
7.67,10,1,5,3,6,5,19,2,Data Scientist
6.78,6,5,2,7,10,6,12,4,Cloud Engineer
5.12,5,10,9,2,10,9,0,2,Cybersecurity Analyst
7.68,4,4,1,5,3,4,1,4,Data Scientist
6.24,5,2,7,10,2,3,13,2,Data Scientist
7.22,6,1,1,7,4,4,14,0,Data Scientist
7.52,3,6,2,3,7,4,8,2,DevOps Engineer
9.92,2,6,4,2,6,5,1,2,Data Scientist
5.44,10,4,9,9,2,2,14,4,ML Engineer
5.22,9,5,4,1,6,1,9,2,Data Scientist
9.97,7,8,8,9,9,3,16,1,ML Engineer
5.14,3,2,3,10,9,9,11,2,Cybersecurity Analyst
6.89,4,9,7,5,4,4,7,2,Data Scientist
6.36,6,3,6,6,7,2,17,5,DevOps Engineer
8.68,10,1,9,3,5,2,6,5,ML Engineer
5.23,6,6,10,1,4,1,18,0,Data Scientist
6.41,10,10,6,9,9,8,20,1,Web Developer
7.16,9,7,6,2,5,7,5,4,Data Scientist
9.95,3,3,4,10,9,1,15,4,Cloud Engineer
5.77,6,3,3,6,6,9,16,4,Cybersecurity Analyst
8.13,5,1,3,1,9,1,17,0,Cloud Engineer
9.48,9,2,9,10,3,7,4,5,ML Engineer
5.57,3,10,6,3,8,1,13,1,Cloud Engineer
5.16,6,4,7,5,2,7,16,1,Data Scientist
7.0,7,8,1,4,10,3,11,2,Cloud Engineer
5.79,3,7,1,10,6,7,9,5,Web Developer
9.76,8,7,3,8,5,1,14,4,Web Developer
7.19,9,5,10,4,7,2,20,1,ML Engineer
6.41,1,9,6,4,9,6,3,2,Cloud Engineer
9.96,2,2,9,1,2,5,12,3,Data Scientist
5.91,10,6,4,9,6,6,6,3,Web Developer
8.7,9,2,6,8,7,2,2,5,Software Developer
8.99,10,9,4,10,8,4,13,0,Web Developer
6.5,9,1,8,7,3,7,11,2,ML Engineer
9.82,1,1,3,1,2,1,7,3,Data Scientist
9.5,10,4,5,2,9,4,19,5,Cloud Engineer
7.18,1,5,5,10,9,4,17,2,Cloud Engineer
6.05,4,9,6,9,3,10,7,0,Web Developer
6.33,5,10,10,9,2,1,6,4,Web Developer
7.94,10,4,8,2,7,9,11,3,ML Engineer
5.27,4,7,1,3,6,7,7,1,Data Scientist
6.62,2,3,6,2,7,1,1,2,Data Scientist
9.17,5,7,4,1,1,7,8,1,Data Scientist
9.17,4,7,3,4,10,6,10,2,Cloud Engineer
9.5,5,1,8,5,3,9,19,4,Cybersecurity Analyst
9.55,10,6,2,8,5,9,16,0,Web Developer
9.96,8,6,5,9,7,2,16,4,Web Developer
8.52,7,9,6,5,5,7,2,5,Data Scientist
9.16,9,1,3,5,10,4,19,2,Cloud Engineer
5.71,8,2,5,3,2,6,18,4,Data Scientist
8.21,2,1,6,8,3,8,7,0,Cybersecurity Analyst
8.06,1,2,5,6,4,8,20,4,Cybersecurity Analyst
6.55,9,9,10,6,10,7,12,4,ML Engineer
9.02,9,9,7,4,10,3,9,5,Cloud Engineer
9.27,4,7,1,10,5,10,13,3,Web Developer
6.89,5,9,4,4,5,9,14,5,Cybersecurity Analyst
9.46,10,9,1,9,6,10,9,0,Web Developer
8.17,5,2,2,10,9,3,15,1,Cloud Engineer
6.0,8,3,1,9,1,4,3,3,Data Scientist
8.66,7,7,3,2,4,3,16,0,Data Scientist
9.52,10,2,4,7,7,2,17,5,Software Developer
5.63,5,2,1,10,1,6,2,0,Data Scientist
7.39,6,5,9,6,9,1,5,3,Cloud Engineer
8.23,10,2,7,8,6,5,16,3,Software Developer
8.25,9,6,8,7,5,1,8,0,ML Engineer
7.17,2,9,8,3,10,3,4,1,Cloud Engineer
8.38,3,2,1,2,9,9,18,5,Cybersecurity Analyst
5.45,2,4,3,7,4,3,13,3,Data Scientist
7.02,7,10,9,9,5,5,0,1,ML Engineer
9.58,2,9,6,5,8,7,1,3,Cloud Engineer
8.46,1,2,8,5,1,9,9,4,Cybersecurity Analyst
5.57,3,1,2,7,1,9,20,0,Cybersecurity Analyst
5.77,7,9,3,10,2,5,1,2,Web Developer
8.99,6,4,8,9,10,8,1,3,Cybersecurity Analyst
5.77,4,8,10,6,1,2,11,1,Mobile App Developer
8.03,2,5,10,1,7,8,8,2,Cybersecurity Analyst
8.58,3,1,10,2,6,5,1,2,Data Scientist
7.25,6,9,1,4,8,9,14,4,Cybersecurity Analyst
8.49,4,2,10,9,8,5,5,5,Cloud Engineer
8.95,7,9,1,10,9,8,18,0,Web Developer
6.37,7,1,4,2,8,3,13,0,Cloud Engineer
7.43,3,7,2,7,10,3,8,5,Cloud Engineer
9.92,3,6,5,3,4,2,6,1,Data Scientist
8.98,4,5,1,1,8,10,11,0,Cybersecurity Analyst
5.97,8,2,3,7,4,8,1,3,Cybersecurity Analyst
7.79,1,8,9,7,8,10,19,2,Cybersecurity Analyst
9.72,9,4,4,8,9,8,2,4,Cybersecurity Analyst
6.66,2,9,4,7,10,7,16,2,Cloud Engineer
8.75,6,4,1,10,5,8,11,0,Cybersecurity Analyst
9.99,2,8,7,6,10,7,20,2,Cloud Engineer
9.92,5,8,8,3,6,1,6,3,Data Scientist
7.95,4,1,4,3,9,10,8,0,Cybersecurity Analyst
8.49,4,10,10,2,5,8,8,5,Cybersecurity Analyst
6.52,9,9,2,6,10,1,7,4,Cloud Engineer
8.25,8,2,4,3,4,8,19,0,Cybersecurity Analyst
9.28,9,8,1,3,1,6,2,0,Software Developer
7.9,10,5,9,1,7,6,4,3,ML Engineer
6.06,1,4,4,3,8,8,7,2,Cybersecurity Analyst
8.27,8,10,6,9,6,9,20,1,Web Developer
5.12,9,2,10,7,8,3,16,4,ML Engineer
9.72,3,3,4,6,10,6,18,3,Cloud Engineer
9.56,3,4,9,3,8,5,6,3,Cloud Engineer
7.83,2,9,4,6,1,1,13,2,Mobile App Developer
8.51,6,10,3,4,3,10,15,5,Cybersecurity Analyst
7.51,2,2,10,8,5,10,16,2,Cybersecurity Analyst
7.64,2,4,9,1,4,4,14,5,Data Scientist
9.25,3,7,2,9,6,8,12,2,Web Developer
9.54,6,6,1,10,8,9,8,2,Web Developer
6.69,9,7,4,7,10,1,12,5,Cloud Engineer
7.31,5,5,10,3,8,6,1,1,Cloud Engineer
7.58,6,10,5,6,4,8,18,0,Cybersecurity Analyst
9.83,5,10,5,5,4,4,18,5,Mobile App Developer
8.8,3,8,9,10,1,2,20,4,Web Developer
9.63,3,2,6,10,9,8,17,2,Cybersecurity Analyst
9.33,8,6,6,8,1,4,18,3,Web Developer
6.37,10,5,2,6,4,7,18,2,Data Scientist
6.68,3,2,8,2,7,7,4,0,Data Scientist
9.77,8,3,9,7,4,6,6,3,ML Engineer
7.14,1,9,6,3,1,5,19,1,Mobile App Developer
5.04,3,5,7,8,8,6,5,2,Cloud Engineer
6.04,10,4,6,10,1,10,11,4,Cybersecurity Analyst
6.85,2,8,10,3,10,3,7,4,Cloud Engineer
6.04,8,3,5,4,2,6,16,2,Data Scientist
7.53,3,2,9,4,3,7,18,0,Data Scientist
5.14,8,4,1,2,10,8,18,0,Cybersecurity Analyst
9.93,8,4,9,10,1,1,20,3,ML Engineer
8.7,10,1,10,10,1,4,0,3,ML Engineer
6.31,7,3,3,1,1,6,13,0,Data Scientist
5.2,5,1,2,10,5,10,4,4,Cybersecurity Analyst
5.25,9,4,6,1,9,4,10,4,Cloud Engineer
6.28,2,5,3,1,2,5,16,5,Data Scientist
6.48,10,5,1,8,6,10,6,1,Cybersecurity Analyst
6.77,3,10,10,1,9,2,3,3,Cloud Engineer
5.95,6,1,2,1,3,3,10,0,Data Scientist
6.82,9,10,7,4,1,6,5,4,Data Scientist
9.35,4,7,8,5,2,3,15,0,Data Scientist
8.88,5,5,2,6,9,4,2,3,Cloud Engineer
6.32,2,9,4,3,7,3,18,0,Mobile App Developer
5.57,6,10,1,3,2,5,2,5,Data Scientist
7.1,8,6,8,2,1,1,16,4,ML Engineer
9.22,1,2,5,6,5,4,16,3,Data Scientist
9.57,6,3,10,7,5,9,12,5,Cybersecurity Analyst
5.3,1,5,9,10,10,8,20,0,Cybersecurity Analyst
8.48,5,2,5,2,9,1,10,3,Cloud Engineer
8.28,10,8,1,6,6,5,15,2,Software Developer
7.86,9,1,7,7,3,4,1,3,Data Scientist
5.33,4,3,5,5,2,1,19,4,Data Scientist
9.29,1,10,10,2,1,9,10,0,Cybersecurity Analyst
5.58,5,9,4,4,8,4,5,3,Cloud Engineer
9.15,8,1,4,5,2,10,16,2,Cybersecurity Analyst
7.18,5,1,1,10,9,6,14,1,Cloud Engineer
5.94,10,4,3,10,6,10,11,0,Cybersecurity Analyst
7.44,4,8,8,10,10,3,0,2,Web Developer
7.01,3,3,1,3,9,9,1,2,Cybersecurity Analyst
7.2,2,1,5,10,4,7,10,2,Data Scientist
7.62,10,10,3,1,4,5,5,2,Data Scientist
7.21,2,2,8,9,8,10,13,1,Cybersecurity Analyst
5.78,3,2,8,9,10,6,19,0,Cloud Engineer
9.92,10,4,2,10,4,2,11,3,Software Developer
8.11,5,3,5,3,7,2,12,4,DevOps Engineer
6.37,5,4,10,4,3,5,17,4,Data Scientist
9.0,1,6,2,1,1,1,8,5,Data Scientist
8.21,2,5,9,6,6,9,5,3,Cybersecurity Analyst
7.49,1,6,4,8,10,5,6,0,Web Developer
7.15,2,9,10,7,5,3,16,1,Mobile App Developer
8.33,3,8,4,8,8,8,18,3,Web Developer
8.74,6,1,4,7,4,3,17,3,Data Scientist
8.19,1,6,8,7,5,4,16,4,Data Scientist
8.92,1,10,2,4,2,5,0,0,Data Scientist
9.97,9,8,10,5,2,7,0,2,ML Engineer
5.31,1,2,9,4,10,4,5,1,Cloud Engineer
7.11,7,5,10,3,5,1,11,5,ML Engineer
7.4,4,4,4,9,10,1,5,1,Cloud Engineer
7.32,1,6,4,4,3,9,12,4,Cybersecurity Analyst
5.26,2,9,6,3,9,1,2,3,Cloud Engineer
9.26,8,5,9,1,1,4,11,5,ML Engineer
9.48,9,8,3,1,7,1,1,0,Software Developer
6.52,10,5,8,7,6,6,8,1,ML Engineer
7.35,8,1,9,1,4,8,15,2,ML Engineer
8.76,8,7,8,4,4,3,11,4,ML Engineer
8.17,7,10,8,2,6,7,8,0,ML Engineer
6.63,3,3,9,7,8,6,12,5,Cloud Engineer
8.94,2,3,7,1,10,5,11,1,Cloud Engineer
5.48,4,9,4,8,4,4,11,2,Web Developer
6.23,1,6,5,2,3,5,9,5,Data Scientist
7.65,9,1,7,2,7,6,12,3,DevOps Engineer
7.96,10,1,8,4,1,1,20,1,ML Engineer
8.9,9,6,1,9,9,3,11,0,Web Developer
8.34,3,6,1,10,5,6,11,5,Web Developer
8.42,7,8,3,6,1,4,1,5,Data Scientist
6.29,3,9,10,5,3,7,18,5,Mobile App Developer
5.11,10,4,4,4,9,3,3,3,Cloud Engineer
9.36,7,4,4,6,1,5,20,5,Data Scientist
8.5,10,3,3,2,7,8,5,4,Cybersecurity Analyst
5.11,10,9,10,9,2,7,5,0,ML Engineer
6.89,1,4,6,6,1,1,20,3,Data Scientist
5.7,9,2,4,10,3,9,10,4,Cybersecurity Analyst
9.41,10,10,6,9,7,9,0,2,Web Developer
8.29,3,2,7,4,2,2,9,3,Data Scientist
5.24,9,4,5,5,9,3,2,5,Cloud Engineer
7.26,1,5,4,7,4,10,16,3,Cybersecurity Analyst
5.17,3,6,5,6,6,9,1,3,Cybersecurity Analyst
5.53,8,9,6,3,3,4,15,4,Mobile App Developer
7.05,2,8,9,1,2,8,6,4,Cybersecurity Analyst
6.77,4,5,10,3,7,7,7,1,Data Scientist
7.66,9,6,7,3,10,9,14,4,Cybersecurity Analyst
9.26,3,10,10,3,7,7,11,5,Mobile App Developer
5.92,7,8,1,10,10,2,16,3,Web Developer
8.09,1,6,10,4,1,10,2,5,Cybersecurity Analyst
8.22,9,2,2,8,8,4,4,0,Cloud Engineer
6.06,3,2,3,9,2,9,6,5,Cybersecurity Analyst
7.43,2,2,5,2,4,1,19,4,Data Scientist
9.25,10,1,2,3,1,8,6,1,Cybersecurity Analyst
9.03,5,6,4,8,5,2,15,3,Web Developer
8.62,6,10,2,8,7,8,7,4,Web Developer
8.23,6,8,8,10,7,7,18,1,Web Developer
5.61,2,3,3,5,7,5,6,0,Data Scientist
8.41,3,2,2,2,10,3,4,3,Cloud Engineer
10.0,9,3,8,1,10,7,5,2,ML Engineer
9.84,10,9,1,4,5,2,1,3,Software Developer
8.61,5,10,4,9,5,7,8,3,Web Developer
7.32,3,4,4,6,10,2,10,2,Cloud Engineer
5.11,8,3,5,5,9,8,7,5,Cybersecurity Analyst
8.16,5,3,2,7,9,2,18,2,Cloud Engineer
8.67,1,6,8,10,8,1,2,1,Web Developer
7.84,1,7,10,3,7,6,2,5,Data Scientist
7.36,7,5,6,3,6,4,14,1,Data Scientist
9.12,8,2,7,10,3,2,18,0,Software Developer
6.27,3,5,3,2,7,1,2,2,Data Scientist
6.79,2,5,4,3,1,10,17,0,Cybersecurity Analyst
8.48,8,9,1,9,9,7,2,3,Web Developer
7.59,10,3,3,9,9,5,13,4,Cloud Engineer
5.49,7,5,9,9,3,9,11,1,ML Engineer
5.33,1,2,6,6,3,1,17,5,Data Scientist
6.56,5,9,9,10,10,4,7,1,Web Developer
8.47,4,3,7,7,6,8,13,2,Cybersecurity Analyst
6.96,3,6,7,7,2,10,3,1,Cybersecurity Analyst
9.31,2,3,5,10,10,7,15,5,Cloud Engineer
9.25,1,4,6,1,5,4,11,2,Data Scientist
7.06,3,3,7,8,2,7,6,4,Data Scientist
9.79,2,5,9,4,10,9,12,1,Cybersecurity Analyst
9.04,1,7,1,10,1,6,9,4,Web Developer
9.92,2,2,5,3,8,5,3,1,Cloud Engineer
7.99,10,7,6,9,8,2,3,0,Web Developer
8.11,6,7,5,4,4,9,5,0,Cybersecurity Analyst
7.03,8,10,10,4,7,1,4,3,ML Engineer
8.53,9,9,7,2,5,3,1,0,Software Developer
6.7,8,8,8,9,8,2,14,2,ML Engineer
7.14,5,9,6,10,9,7,8,0,Web Developer
9.29,7,2,5,9,5,1,12,5,Data Scientist
8.79,10,7,5,4,3,3,6,2,Software Developer
9.49,2,1,6,10,8,9,1,5,Cybersecurity Analyst
7.54,7,6,7,2,4,2,17,1,Data Scientist
6.52,5,4,1,7,8,4,0,0,Cloud Engineer
6.27,7,7,3,3,2,2,5,3,Data Scientist
9.19,1,3,7,10,1,1,18,1,Data Scientist
6.51,6,4,9,1,7,10,2,4,Cybersecurity Analyst
9.6,5,4,2,5,3,1,8,4,Data Scientist
7.09,4,6,9,10,9,8,14,1,Web Developer
5.53,6,6,6,6,4,1,7,2,Data Scientist
7.21,4,2,9,8,4,9,6,3,Cybersecurity Analyst
8.43,9,2,8,1,10,1,7,2,ML Engineer
6.12,6,5,5,9,9,5,18,2,Cloud Engineer
5.49,4,5,1,1,6,6,2,1,Data Scientist
7.22,9,8,1,10,10,2,12,0,Web Developer
7.23,3,9,1,7,3,3,18,2,Mobile App Developer
7.34,5,10,2,2,9,9,11,0,Cybersecurity Analyst
7.13,4,5,10,3,2,9,2,2,Cybersecurity Analyst
5.49,6,7,3,2,4,3,18,0,Data Scientist
6.93,9,3,9,6,4,4,4,3,ML Engineer
8.68,6,8,9,3,1,9,0,5,Cybersecurity Analyst
5.05,8,8,9,4,1,9,0,1,ML Engineer
5.95,4,5,6,9,9,7,5,5,Cloud Engineer
9.43,8,1,10,7,9,3,11,4,ML Engineer
7.11,7,9,3,2,10,6,4,4,Cloud Engineer
7.56,4,8,1,6,10,4,17,4,Cloud Engineer
9.22,5,2,1,9,2,7,10,1,Data Scientist
7.65,5,4,5,2,6,4,2,2,Data Scientist
8.26,5,9,3,9,7,5,13,4,Web Developer
6.22,7,2,5,2,3,3,0,4,Data Scientist
9.12,1,6,2,8,1,3,8,5,Web Developer
7.58,10,6,7,6,2,6,5,2,Data Scientist
7.69,6,4,6,7,8,9,18,0,Cybersecurity Analyst
5.41,4,4,5,9,7,9,8,3,Cybersecurity Analyst
9.25,10,9,5,4,1,1,17,4,Software Developer
5.57,4,2,8,10,1,5,15,3,Data Scientist
9.64,4,6,5,10,4,5,16,5,Web Developer
